City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Palmas,BR,80.47,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
439,Santa Isabel Do Rio Negro,BR,75.11,overcast clouds,-0.4139,-65.0192,Hotel GSA
441,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
442,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
450,Mount Isa,AU,83.97,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
452,Bowen,AU,82.24,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
454,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
455,Rayong,TH,79.03,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
461,Rurrenabaque,BO,79.29,broken clouds,-14.4413,-67.5278,Casa de Campo
464,Dingle,PH,76.06,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Sampit,ID,75.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
467,Ngunguru,NZ,75.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
469,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
474,Muli,MV,81.82,broken clouds,2.9167,73.5667,Medhufushi Island Resort
476,Puerto Castilla,HN,80.51,scattered clouds,16.0167,-85.9667,Jito Beach
487,Pouembout,NC,85.89,light rain,-21.1333,164.9,Camping de Tipenga
490,Dhidhdhoo,MV,81.21,broken clouds,6.8833,73.1,Dhidhoo beach
500,Isla Aguada,MX,75.24,few clouds,18.7833,-91.4667,Freedom Shores
503,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
504,Pangai,TO,78.51,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
508,Wajir,KE,78.33,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
519,Sambava,MG,76.44,overcast clouds,-14.2667,50.1667,Melrose
524,Trinidad,BO,76.12,moderate rain,-14.8333,-64.9,Hotel Piesta
525,Piranhas,BR,75.83,overcast clouds,-16.4269,-51.8222,Planalto Hotel
526,Caravelas,BR,76.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
528,Kavaratti,IN,77.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
534,Ca Mau,VN,77.9,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
539,Barreirinhas,BR,75.29,heavy intensity rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
