City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Norman Wells,CA,2022-01-25 20:00:39,65.282,-126.8329,15.35,92,33,0.78
135,Drayton Valley,CA,2022-01-25 20:11:01,53.2168,-114.9854,37.9,86,100,6.93
136,Dhidhdhoo,MV,2022-01-25 20:11:01,6.8833,73.1,79.92,63,61,10.0
137,Kenai,US,2022-01-25 20:07:40,60.5544,-151.2583,30.29,86,100,13.8
138,Longyearbyen,SJ,2022-01-25 20:11:02,78.2186,15.6401,19.24,63,75,16.11
139,Hasaki,JP,2022-01-25 20:11:02,35.7333,140.8333,37.8,89,100,15.68
140,Saint-Ambroise,CA,2022-01-25 20:11:02,48.5501,-71.3324,13.59,91,100,3.98
141,Barrow,US,2022-01-25 19:59:31,71.2906,-156.7887,3.22,85,100,23.02
142,Krasnoselkup,RU,2022-01-25 20:11:03,65.7,82.4667,-12.14,98,35,10.49
143,Amapa,BR,2022-01-25 20:11:03,1.0,-52.0,77.49,95,47,3.58
144,Udachnyy,RU,2022-01-25 20:11:04,66.4167,112.4,3.45,77,100,5.57
145,Bullas,ES,2022-01-25 20:11:04,38.0467,-1.6723,46.81,92,89,5.91
146,Kavieng,PG,2022-01-25 20:06:06,-2.5744,150.7967,82.69,77,100,10.07
147,Lavrentiya,RU,2022-01-25 20:08:54,65.5833,-171.0,-20.13,86,97,5.35
148,Pitea,SE,2022-01-25 20:11:04,65.3172,21.4794,26.1,76,97,9.8
149,Katherine,AU,2022-01-25 20:11:05,-14.4667,132.2667,75.52,94,100,9.22
150,Saldanha,ZA,2022-01-25 20:07:15,-33.0117,17.9442,63.28,85,0,22.35
151,Chino Valley,US,2022-01-25 20:11:05,34.7575,-112.4538,57.72,32,0,5.99
152,Los Llanos De Aridane,ES,2022-01-25 20:11:06,28.6585,-17.9182,60.12,52,20,11.01
153,Mahebourg,MU,2022-01-25 20:03:31,-20.4081,57.7,75.25,71,95,15.84
154,Vao,NC,2022-01-25 20:11:06,-22.6667,167.4833,76.75,71,95,7.27
155,Sevierville,US,2022-01-25 20:11:06,35.8681,-83.5618,58.68,50,75,8.05
156,Geraldton,AU,2022-01-25 20:04:47,-28.7667,114.6,66.61,77,0,9.22
157,Daru,PG,2022-01-25 20:11:07,-9.0763,143.2092,78.82,84,77,2.93
158,Mar Del Plata,AR,2022-01-25 20:01:44,-38.0023,-57.5575,75.87,94,96,18.99
159,East London,ZA,2022-01-25 20:11:07,-33.0153,27.9116,73.71,78,65,2.19
160,Alugan,PH,2022-01-25 20:11:08,12.2188,125.4808,77.11,91,100,9.57
161,Lao Cai,VN,2022-01-25 20:11:08,22.4833,103.95,64.6,98,75,1.12
162,Karratha,AU,2022-01-25 20:11:08,-20.7377,116.8463,81.79,75,0,5.23
163,Lubango,AO,2022-01-25 20:11:09,-14.9172,13.4925,61.99,89,98,4.16
