City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
103,Dikson,RU,73.5069,80.5464,-1.97,95,100,6.55,overcast clouds,2022-02-05 00:08:56
104,Loukhi,RU,66.0764,33.0381,14.74,87,100,15.21,overcast clouds,2022-02-05 00:08:57
105,Pafos,CY,34.7667,32.4167,48.11,81,0,3.44,clear sky,2022-02-05 00:08:57
106,Ribeira Grande,PT,38.5167,-28.7,59.36,80,78,14.52,broken clouds,2022-02-05 00:06:45
107,Thomastown,IE,52.5267,-7.1372,38.71,89,15,5.7,few clouds,2022-02-05 00:08:57
108,Cayenne,GF,4.9333,-52.3333,79.09,88,75,3.0,broken clouds,2022-02-05 00:06:58
109,Diedorf,DE,48.35,10.7667,45.23,80,100,13.8,heavy intensity rain,2022-02-05 00:08:58
110,Waren,DE,53.5167,12.6833,37.09,83,100,17.58,overcast clouds,2022-02-05 00:08:58
111,Tuatapere,NZ,-46.1333,167.6833,58.82,56,91,5.23,overcast clouds,2022-02-05 00:08:58
112,Qaanaaq,GL,77.484,-69.3632,0.05,70,100,7.25,overcast clouds,2022-02-05 00:05:28
113,Ust-Uda,RU,54.1742,103.0304,-5.13,100,100,2.59,overcast clouds,2022-02-05 00:08:59
114,Victoria,HK,22.2855,114.1577,57.33,78,99,1.01,overcast clouds,2022-02-05 00:08:59
115,Lorengau,PG,-2.0226,147.2712,84.31,64,89,6.02,overcast clouds,2022-02-05 00:01:07
116,Port Elizabeth,ZA,-33.918,25.5701,66.09,74,100,5.99,overcast clouds,2022-02-05 00:09:00
117,Nome,US,64.5011,-165.4064,4.1,65,100,4.54,overcast clouds,2022-02-05 00:01:10
118,Barrow,US,71.2906,-156.7887,-20.18,69,100,9.22,overcast clouds,2022-02-05 00:01:03
119,Ponta Do Sol,PT,32.6667,-17.1,66.7,65,100,3.36,overcast clouds,2022-02-05 00:09:00
120,Arlit,NE,18.7369,7.3853,58.15,22,0,8.93,clear sky,2022-02-05 00:09:01
121,Lithakia,GR,37.7167,20.8333,46.58,68,10,4.9,clear sky,2022-02-05 00:09:01
122,Faanui,PF,-16.4833,-151.75,80.71,75,41,14.2,scattered clouds,2022-02-05 00:09:01
123,Atasu,KZ,48.6814,71.6433,5.7,80,5,9.17,clear sky,2022-02-05 00:09:02
